#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
59131.4999537037,7.01e-08,6.52e-08,8.19e-08,0.0,0.0,2.8,2.23,2.37,2.55,0.29
59138.4999537037,2.02e-07,7.01e-08,6.52e-08,0.0,0.0,2.63,2.8,2.23,2.64,0.16
59145.4999537037,1.04e-07,2.02e-07,7.01e-08,0.0,0.0,2.49,2.63,2.8,2.25,0.54
59166.4999537037,5.86e-08,1.04e-07,2.02e-07,0.0,0.0,1.63,2.49,2.63,2.02,0.44
59180.4999537037,7.61e-08,5.86e-08,1.04e-07,0.0,0.0,1.94,1.63,2.49,1.81,0.16
59194.4999537037,5.43e-08,7.61e-08,5.86e-08,0.0,0.0,1.85,1.94,1.63,2.01,0.2
59208.4999537037,6.65e-08,5.43e-08,7.61e-08,0.0,0.0,2.23,1.85,1.94,2.12,0.23
59229.4999537037,1.03e-07,6.65e-08,5.43e-08,0.0,0.0,2.27,2.23,1.85,2.16,0.15
59236.4999537037,1.22e-07,1.03e-07,6.65e-08,0.0,0.0,1.99,2.27,2.23,2.29,0.31
59243.4999537037,1.86e-07,1.22e-07,1.03e-07,0.0,0.0,2.6,1.99,2.27,2.65,0.69
59250.4999537037,1.27e-07,1.86e-07,1.22e-07,0.0,0.0,3.37,2.6,1.99,2.72,0.6
59264.4999537037,1.15e-07,1.27e-07,1.86e-07,0.0,0.0,2.19,3.37,2.6,2.38,0.91
59271.4999537037,5.71e-08,1.15e-07,1.27e-07,0.0,0.0,1.57,2.19,3.37,1.81,0.33
59278.4999537037,7.89e-08,5.71e-08,1.15e-07,0.0,0.0,1.68,1.57,2.19,1.8,0.3
59285.4999537037,1.08e-07,7.89e-08,5.71e-08,0.0,0.0,2.14,1.68,1.57,2.21,0.57
59299.4999537037,1.33e-07,1.08e-07,7.89e-08,0.0,0.0,2.81,2.14,1.68,2.27,0.49
59313.4999537037,7.95e-08,1.33e-07,1.08e-07,0.0,0.0,1.86,2.81,2.14,2.22,0.52
59320.4999537037,1.78e-07,7.95e-08,1.33e-07,0.0,0.0,1.99,1.86,2.81,2.06,0.24
59341.4999537037,1.48e-07,1.78e-07,7.95e-08,0.0,0.0,2.32,1.99,1.86,2.05,0.25
59348.4999537037,4.06e-07,1.48e-07,1.78e-07,0.0,0.0,1.84,2.32,1.99,2.12,0.25
59355.4999537037,3.82e-07,4.06e-07,1.48e-07,0.0,0.0,2.2,1.84,2.32,1.95,0.22
59362.4999537037,2.52e-07,3.82e-07,4.06e-07,0.0,0.0,1.8,2.2,1.84,2.03,0.21
59369.4999537037,5.85e-07,2.52e-07,3.82e-07,0.0,0.0,2.08,1.8,2.2,1.94,0.14
59376.4999537037,1.31e-07,5.85e-07,2.52e-07,0.0,0.0,1.95,2.08,1.8,2.05,0.09
59383.4999537037,1.05e-07,1.31e-07,5.85e-07,0.0,0.0,2.13,1.95,2.08,1.92,0.23
59390.4999537037,7.32e-08,1.05e-07,1.31e-07,0.0,0.0,1.68,2.13,1.95,2.11,0.43
59397.4999537037,1.02e-07,7.32e-08,1.05e-07,0.0,0.0,2.53,1.68,2.13,2.56,0.9
59404.4999537037,1.03e-07,1.02e-07,7.32e-08,0.0,0.0,3.47,2.53,1.68,2.87,0.52
59418.4999537037,6.93e-08,1.03e-07,1.02e-07,0.0,0.0,2.6,3.47,2.53,2.87,0.52
59425.4999537037,1.22e-07,6.93e-08,1.03e-07,0.0,0.0,2.55,2.6,3.47,2.57,0.03
59537.4999537037,1.14e-07,1.22e-07,6.93e-08,0.0,0.0,2.55,2.55,2.6,2.49,0.1
59579.4999537037,7.85e-08,1.14e-07,1.22e-07,0.0,0.0,2.38,2.55,2.55,2.51,0.12
59586.4999537037,7.65e-08,7.85e-08,1.14e-07,0.0,0.0,2.6,2.38,2.55,2.38,0.22
59593.4999537037,6.16e-08,7.65e-08,7.85e-08,0.0,0.0,2.16,2.6,2.38,2.42,0.23
59600.4999537037,6.31e-08,6.16e-08,7.65e-08,0.0,0.0,2.5,2.16,2.6,2.24,0.23
